round_epochs,loss,acc,val_loss,val_acc,batch_size,dropout,epochs,last_activation,learning_rate,loss,optimizer
50,0.045584404445253315,0.98595,0.08043576313182711,0.9776,200,0.2,50,softmax,0.01,categorical_crossentropy,SGD
50,0.045190610754458856,0.9852333,0.07791092136874794,0.9799,200,0.2,50,softmax,0.01,categorical_crossentropy,SGD
50,0.043694307273253796,0.9862,0.07452643401920796,0.9812,200,0.2,50,softmax,0.01,categorical_crossentropy,SGD
50,0.046155320403631774,0.98541665,0.07381099110469222,0.9794,200,0.2,50,softmax,0.01,categorical_crossentropy,SGD
50,0.04249697375266502,0.98615,0.08764775857329368,0.9811,200,0.2,50,softmax,0.01,categorical_crossentropy,SGD
50,0.04744880229855577,0.98595,0.07642339675687254,0.9791,200,0.2,50,softmax,0.01,categorical_crossentropy,SGD
50,0.04427430987047652,0.9859333,0.08477475868538022,0.9801,200,0.2,50,softmax,0.01,categorical_crossentropy,SGD
50,0.046029354273341594,0.98548335,0.08135092355310918,0.981,200,0.2,50,softmax,0.01,categorical_crossentropy,SGD
50,0.04437027941069876,0.98575,0.0858003575541079,0.9801,200,0.2,50,softmax,0.01,categorical_crossentropy,SGD
50,0.043279745690524576,0.9860333,0.07095736619085073,0.9811,200,0.2,50,softmax,0.01,categorical_crossentropy,SGD
50,0.06529590642390151,0.9803333,0.07866110984236002,0.9793,200,0.3,50,softmax,0.01,categorical_crossentropy,SGD
50,0.06670917517350365,0.9791333,0.08048453416675329,0.9784,200,0.3,50,softmax,0.01,categorical_crossentropy,SGD
50,0.0672072043394049,0.97901666,0.07910419642925262,0.9782,200,0.3,50,softmax,0.01,categorical_crossentropy,SGD
50,0.06583817029837519,0.9795333,0.07278979185968637,0.9788,200,0.3,50,softmax,0.01,categorical_crossentropy,SGD
50,0.06215485534320275,0.9798333,0.06509659536182881,0.9795,200,0.3,50,softmax,0.01,categorical_crossentropy,SGD
50,0.06762082146791121,0.9787833,0.06959241323173046,0.9801,200,0.3,50,softmax,0.01,categorical_crossentropy,SGD
50,0.06302640887908638,0.97996664,0.07513659987598657,0.9782,200,0.3,50,softmax,0.01,categorical_crossentropy,SGD
50,0.06454288672034939,0.9799,0.07362948287278413,0.9806,200,0.3,50,softmax,0.01,categorical_crossentropy,SGD
50,0.06485738026599089,0.97931665,0.08144301285967231,0.98,200,0.3,50,softmax,0.01,categorical_crossentropy,SGD
50,0.06746453624839584,0.9795333,0.06659129483625292,0.9802,200,0.3,50,softmax,0.01,categorical_crossentropy,SGD
50,0.040625478317961095,0.9870667,0.07575955488719047,0.9839,300,0.2,50,softmax,0.01,categorical_crossentropy,SGD
50,0.045203751381486655,0.98536664,0.09318915369454771,0.98,300,0.2,50,softmax,0.01,categorical_crossentropy,SGD
50,0.043209053562022745,0.98645,0.07690600836649537,0.9817,300,0.2,50,softmax,0.01,categorical_crossentropy,SGD
50,0.04042439915705472,0.9863667,0.07402011929079891,0.9805,300,0.2,50,softmax,0.01,categorical_crossentropy,SGD
50,0.04081693259067833,0.98696667,0.07520876752212644,0.9817,300,0.2,50,softmax,0.01,categorical_crossentropy,SGD
50,0.04313815012574196,0.98615,0.08013218440115452,0.9806,300,0.2,50,softmax,0.01,categorical_crossentropy,SGD
50,0.04174374303664081,0.9867167,0.0880219492688775,0.981,300,0.2,50,softmax,0.01,categorical_crossentropy,SGD
50,0.04193776633124799,0.98606664,0.08309217557311058,0.9826,300,0.2,50,softmax,0.01,categorical_crossentropy,SGD
50,0.0429016330325976,0.98616666,0.0799109692312777,0.9802,300,0.2,50,softmax,0.01,categorical_crossentropy,SGD
50,0.041545863812789324,0.9860833,0.07710242688655854,0.98,300,0.2,50,softmax,0.01,categorical_crossentropy,SGD
50,0.058431532522663476,0.98176664,0.06451562538277358,0.9819,300,0.3,50,softmax,0.01,categorical_crossentropy,SGD
50,0.059088277695700527,0.98113334,0.07394143646582961,0.9793,300,0.3,50,softmax,0.01,categorical_crossentropy,SGD
50,0.06244330764282495,0.9798167,0.06951816614717245,0.9798,300,0.3,50,softmax,0.01,categorical_crossentropy,SGD
50,0.0619913421664387,0.98013335,0.06518859728239476,0.9797,300,0.3,50,softmax,0.01,categorical_crossentropy,SGD
50,0.06123478578403592,0.98003334,0.07044594179838896,0.9808,300,0.3,50,softmax,0.01,categorical_crossentropy,SGD
50,0.06367729398421944,0.9799333,0.06907513799145817,0.9804,300,0.3,50,softmax,0.01,categorical_crossentropy,SGD
50,0.06356208767741918,0.97985,0.06729087742045521,0.9818,300,0.3,50,softmax,0.01,categorical_crossentropy,SGD
50,0.06231994116678834,0.97995,0.07227782368659973,0.9795,300,0.3,50,softmax,0.01,categorical_crossentropy,SGD
50,0.060513840271160003,0.98055,0.07365971178514882,0.9799,300,0.3,50,softmax,0.01,categorical_crossentropy,SGD
50,0.06518175991252065,0.97885,0.06754738476127387,0.9794,300,0.3,50,softmax,0.01,categorical_crossentropy,SGD
50,0.04607392889757951,0.98501664,0.09132947683334351,0.9783,200,0.2,50,softmax,0.01,categorical_crossentropy,SGD
50,0.044317675449031715,0.98578334,0.07982425322756172,0.9805,200,0.2,50,softmax,0.01,categorical_crossentropy,SGD
50,0.047012221723174055,0.98511666,0.07031270001083613,0.9845,200,0.2,50,softmax,0.01,categorical_crossentropy,SGD
50,0.044090519049204885,0.9866,0.09253738347440958,0.9793,200,0.2,50,softmax,0.01,categorical_crossentropy,SGD
50,0.04576869122684002,0.9856667,0.07521927703171968,0.9801,200,0.2,50,softmax,0.01,categorical_crossentropy,SGD
50,0.046584463654241216,0.9856667,0.08180584132671356,0.977,200,0.2,50,softmax,0.01,categorical_crossentropy,SGD
50,0.04191533427297448,0.9866667,0.07678591074422002,0.9806,200,0.2,50,softmax,0.01,categorical_crossentropy,SGD
50,0.04514892206527293,0.9856167,0.074609361179173,0.9806,200,0.2,50,softmax,0.01,categorical_crossentropy,SGD
50,0.044204885092719144,0.98621666,0.0789952827244997,0.9813,200,0.2,50,softmax,0.01,categorical_crossentropy,SGD
50,0.044070160794071854,0.98576665,0.08854531588032842,0.9798,200,0.2,50,softmax,0.01,categorical_crossentropy,SGD
50,0.06306241339383026,0.9804,0.0715897347778082,0.9803,200,0.3,50,softmax,0.01,categorical_crossentropy,SGD
50,0.06739021760722001,0.97868335,0.07980546612292529,0.9756,200,0.3,50,softmax,0.01,categorical_crossentropy,SGD
50,0.06295423737106223,0.97941667,0.06868522498756648,0.9821,200,0.3,50,softmax,0.01,categorical_crossentropy,SGD
50,0.06176302205771208,0.98055,0.07184567688032985,0.9805,200,0.3,50,softmax,0.01,categorical_crossentropy,SGD
50,0.06558290518509845,0.97905,0.08714364137500524,0.9783,200,0.3,50,softmax,0.01,categorical_crossentropy,SGD
50,0.0636506524682045,0.9792,0.07078826759010554,0.9787,200,0.3,50,softmax,0.01,categorical_crossentropy,SGD
50,0.06437938267675539,0.9799167,0.07472146586515009,0.9818,200,0.3,50,softmax,0.01,categorical_crossentropy,SGD
50,0.062206580565931896,0.98008335,0.06824797509238124,0.9806,200,0.3,50,softmax,0.01,categorical_crossentropy,SGD
50,0.06224303234058122,0.98118335,0.06713702900335193,0.9806,200,0.3,50,softmax,0.01,categorical_crossentropy,SGD
50,0.06543437336261074,0.97896665,0.07005035541951657,0.9793,200,0.3,50,softmax,0.01,categorical_crossentropy,SGD
50,0.043336349376477304,0.98588336,0.07035162599757314,0.9811,300,0.2,50,softmax,0.01,categorical_crossentropy,SGD
50,0.041716360526625064,0.98725,0.07657153079286218,0.9803,300,0.2,50,softmax,0.01,categorical_crossentropy,SGD
50,0.04075428104028106,0.9867667,0.08272857261821627,0.9802,300,0.2,50,softmax,0.01,categorical_crossentropy,SGD
50,0.043776709637604654,0.98595,0.07188626240938902,0.9816,300,0.2,50,softmax,0.01,categorical_crossentropy,SGD
50,0.04313922140747309,0.98571664,0.07447722836397588,0.9827,300,0.2,50,softmax,0.01,categorical_crossentropy,SGD
50,0.040466723386198285,0.98663336,0.0863542877137661,0.9792,300,0.2,50,softmax,0.01,categorical_crossentropy,SGD
50,0.04096322624012828,0.98733336,0.07800749162212015,0.9808,300,0.2,50,softmax,0.01,categorical_crossentropy,SGD
50,0.039715750329196456,0.98725,0.08892164513468742,0.9811,300,0.2,50,softmax,0.01,categorical_crossentropy,SGD
50,0.04072487876052037,0.98655,0.07267930999398231,0.981,300,0.2,50,softmax,0.01,categorical_crossentropy,SGD
50,0.043239823686890305,0.98656666,0.06868414297699928,0.9804,300,0.2,50,softmax,0.01,categorical_crossentropy,SGD
50,0.057846693187020716,0.98155,0.07156446309760213,0.9827,300,0.3,50,softmax,0.01,categorical_crossentropy,SGD
50,0.06263748532161116,0.9799833,0.06559212159365416,0.9815,300,0.3,50,softmax,0.01,categorical_crossentropy,SGD
50,0.061177617674693464,0.98075,0.07226875176653266,0.9805,300,0.3,50,softmax,0.01,categorical_crossentropy,SGD
50,0.06269795312546193,0.9806,0.07077152141369879,0.9815,300,0.3,50,softmax,0.01,categorical_crossentropy,SGD
50,0.06082959074527025,0.9809833,0.07635617731139063,0.979,300,0.3,50,softmax,0.01,categorical_crossentropy,SGD
50,0.05950090296566486,0.9812,0.06686145128682255,0.9798,300,0.3,50,softmax,0.01,categorical_crossentropy,SGD
